emotion,age,gender,recall,train images,validation images,test images,support
Neutral,(4-6),Male,0.4736842215061188,374,39,57,470
Neutral,(4-6),Female,0.6190476417541504,131,23,21,175
Neutral,(8-12),Male,0.75,439,46,68,553
Neutral,(8-12),Female,0.4000000059604645,173,26,20,219
Neutral,(15-20),Male,0.7727272510528564,285,39,44,368
Neutral,(15-20),Female,0.625,123,14,24,161
Neutral,(25-32),Male,0.7090908885002136,1543,206,165,1914
Neutral,(25-32),Female,0.4864864945411682,722,82,74,878
Neutral,(38-43),Male,0.6222222447395325,375,52,45,472
Neutral,(38-43),Female,0.6818181872367859,179,22,22,223
Neutral,(48-53),Male,0.6428571343421936,138,11,14,163
Neutral,(48-53),Female,0.30000001192092896,55,4,10,69
Neutral,(60-100),Male,0.692307710647583,84,9,13,106
Neutral,(60-100),Female,0.375,38,6,8,52
